Date,Title_Bull,Title_Bear,Title_Pos,Title_Neg,Body_Bull,Body_Bear,Body_Pos,Body_Neg,Comments_Bull,Comments_Bear,Comments_Pos,Comments_Neg,Bull_Bear_Ratio,EMA_3,EMA_10
2019-12-09,4,7,0.0,2.9589999999999996,50,48,1.6059999999999999,1.821,1358,1103,369.233,285.528,1.2311876699909339,1.265820135056857,1.312453621267199
2019-12-10,8,3,2.174,2.267,44,32,2.195,1.489,1532,1150,419.66,339.181,1.3321739130434782,1.2989970240501676,1.3160391288628863
2019-12-11,11,3,3.7289999999999996,1.46,25,15,1.048,1.0859999999999999,1267,814,401.977,302.63,1.5565110565110565,1.427754040280612,1.3597612975261903
2019-12-12,4,3,1.891,1.121,25,21,1.213,1.15,1110,794,350.10900000000004,247.926,1.397984886649874,1.412869463465243,1.366711041003224
2019-12-15,5,11,2.7030000000000003,2.372,28,22,1.682,0.977,1288,997,375.202,258.409,1.291875626880642,1.3523725451729425,1.3531046020718454
2019-12-16,8,2,2.557,1.5830000000000002,52,30,1.3969999999999998,2.02,1198,801,331.86199999999997,250.07,1.4956304619225969,1.4240015035477698,1.3790183947719818
2019-12-17,8,6,2.681,1.864,114,34,2.075,1.401,1452,909,459.345,301.637,1.5973597359735974,1.5106806197606835,1.4187168204450031
2019-12-18,5,5,2.13,0.8540000000000001,28,18,1.974,1.047,1314,912,388.82,297.443,1.4407894736842106,1.475735046722447,1.422730030124859
2019-12-19,3,4,1.148,2.013,20,12,1.5619999999999998,0.711,1406,1102,448.14099999999996,298.131,1.2758620689655173,1.3757985578439822,1.3960267644595241
2019-12-22,4,1,1.483,0.444,28,14,1.569,1.046,1226,765,491.653,266.72900000000004,1.6026143790849674,1.4892064684644748,1.4335881489368776
